Dataset,Size Schema,Config,Size ITE,Ratio ITE,#Constraints,Runtime
MapGermany,405,threshold-15,475,0.537,20,7.094393968582153
MapGermany,405,threshold-35,350,0.461,14,16.887054920196533
MapGermany,405,threshold-50,284,0.41,11,7.9460649490356445
MapEU,359,threshold-15,216,0.373,8,4.199884653091431
MapEU,359,threshold-35,169,0.318,6,4.4144721031188965
MapEU,359,threshold-50,169,0.318,6,4.550877332687378
WorldGenBerlin,1339,threshold-15,3690,0.733,184,2875.333524465561
WorldGenBerlin,1339,threshold-35,2226,0.624,109,2117.490908384323
WorldGenBerlin,1339,threshold-50,1586,0.541,76,1442.3823699951172
USHouseMembers,493,threshold-15,12598,0.962,660,100.11824464797974
USHouseMembers,493,threshold-35,8988,0.948,470,75.26330137252808
USHouseMembers,493,threshold-50,8779,0.946,459,75.2089376449585
WildlifeSites,143,threshold-15,967,0.868,50,48.96627759933472
WildlifeSites,143,threshold-35,359,0.709,18,53.90113115310669
WildlifeSites,143,threshold-50,359,0.709,18,56.93733501434326
